track_id,name,artists,isrc,tempo,tempo_source
0WVCw4DuZ5GliVNUyyNmS2,Forest Green,Big Red Machine,US38Y1833506,186.23,deezer
0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,flora cash,SEXCG1700102,102.85,deezer
7A55QoGK0vf8lGNtaWZm45,When Someone Stops Loving You,Little Big Town,USUG11700040,124.91,deezer
0UAwEImuoGqEGw6MarA0bv,The Gold - Phoebe Bridgers Version,"Manchester Orchestra, Phoebe Bridgers",USJ5G1818101,105.2,deezer
5SCl23XBdin17EibkHoUkN,Love Yourself (Short Reprise),Sufjan Stevens,US64G1937604,144.05,deezer
74HDdbE5v7eMS1f6ogMjhu,I Hear The Day Has Come,Matt Maltese,GBKPL1523251,128.0,deezer
0V5cvmTKsYmF5FmGGEAfmS,Je te laisserai des mots,Patrick Watson,CA0RZ1000020,130.4,deezer
7CoZlkSFHX1UqdJ1S90pc8,Keeping A Secret,Bleachers,USRC11800048,97.97,deezer
0XgRWgcs0Pcr9PSIdFWD4N,Clay Pigeons,Michael Cera,TCACK1587301,170.8,deezer
0Vh5clKN9Z0CNi8ItHUQEx,Sink In,Amy Shark,AUBM01800019,162.77,deezer
5pVbLYTdihSKd8Kylfhwa7,There's A Reason Why (I Never Returned Your Calls),Blossoms,GBUM71706179,124.16,deezer
3gbwtdRrtD05lz08DTxfFt,City Of Stars (Humming),"Justin Hurwitz, Emma Stone",USUG11600655,92.7,deezer
6YArGkJUr82ehzRFa2YaRK,Wake Me,Bleachers,USRC11401067,118.1,deezer
56ToH3YiSMT51y1H2dygOX,Rosyln,"Bon Iver, St. Vincent",USAT20903243,106.0,deezer
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,GBDVX1200008,124.9,deezer
0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Dion & The Belmonts,USLA19200003,158.4,deezer
63VnLQYSWvmQsILV9f5wrA,Three Cigarettes In An Ashtray,Patsy Cline,USATV0400207,114.6,deezer
5INKIG4QNuD4xq7qZcfPzp,Bandito,Twenty One Pilots,USAT21810692,126.82,deezer
3bnVBN67NBEzedqQuWrpP4,Tear in My Heart,Twenty One Pilots,USAT21500390,119.8,deezer
7LbUv7w2z7rEbNqp1uIL9U,Fallingforyou,The 1975,GBK3W1000187,84.89,deezer
2cX2coZS1PYBfPs8wgbdWE,More Than A Woman,Bee Gees,NLF057790033,105.74,deezer
2Vp0ue7NNLHFF6RKSdOEuN,Candy Says,The Velvet Underground,USPR36909013,158.41,deezer
0Tel1fmuCxEFV6wBLXsEdk,Kiss Me,Ed Sheeran,GBAHS1100208,149.8,deezer
4EWBhKf1fOFnyMtUzACXEc,Pluto Projector,Rex Orange County,USRC11902533,80.91,deezer
5OHbgQbHzTjolHzWffSrvn,Glass in the park,Alex Turner,GBCEL1100043,99.86,deezer
3bRcSxW2FnSSwrzoYT1knV,At Seventeen,Janis Ian,USSM19915272,124.16,deezer
3DofkfU0559aayAElVjEIr,Laughing on the Outside,Bernadette Carroll,USCW61705209,99.38,deezer
